222G2PJWTMOVROYR2PYT33LTAM	BLANCO	47:1 416:1 419:1 689:1 865:2 1155:5 1383:2 1410:2 1576:1 1602:1 1612:1 1653:4 1694:1 2107:2 2110:1 2150:3 2253:1 
222OIUSFNXKLN4EAT5BEMY52UA	BLANCO	
222V3HBN4RM4PSPJHMVBSDCAX4	BLANCO	149:8 865:6 1383:1 1653:5 1745:2 
222ZTOHMLKYG7G42D6N6HEWHDI	BRASILEÑOS	1806:1 
223SQNC7E242OON6BTKFUKC2TI	BLANCO	506:1 865:1 1005:1 1383:2 2015:1 2188:1 
223WBY5AMVFFW2ST63776DAVAI	BLANCO	865:9 904:1 1155:1 1383:3 2029:1 2716:1 
225DJX6Z3SW7WYQHHR6GZYLWLY	BLANCO	
22743BP5PGMW35VYYULDKJGILQ	BLANCO	1180:1 1304:1 
22C5O2PTF5S4JL35ISQFME7ALY	AFROAMERICANO	26:1 865:5 1383:2 1653:4 1974:1 2150:1 2716:2 
22EEUNZQYZY3OX5VTAMJDEGU4A	AFROAMERICANO	
22EU3XUHOIYVI4WC4D5U3XQCOU	BLANCO	119:13 865:13 953:3 1079:2 1155:1 1383:1 1653:6 1870:1 1871:1 1960:1 2548:1 2608:3 
22O3BITQT5HDXCKFCLEJYSIJ2E	LATINO	865:6 1155:1 1383:1 2003:1 
22PVQOO27DEBHSMR7G4UEJ2IO4	BLANCO	419:1 830:2 865:6 1079:3 1155:4 1383:4 1653:3 1744:1 1745:2 2036:2 2042:1 2085:1 2130:1 2132:1 2172:2 2202:1 
22RCEKA2VRTYGFDKDG64O5WVWQ	ARÁBICOS	116:1 149:2 687:2 865:7 1155:1 2716:1 
22WNEJLVX6PFWVDXKZ74AKVA4Y	ARÁBICOS	865:1 1383:1 2384:1 2716:1 
22XGXU5ZBKUDVCLLZGGSWDRKY4	BLANCO	149:1 865:10 1079:3 1085:2 1155:1 1383:6 1653:2 1960:1 2405:1 2716:7 
237ILP25JYQRJDNBPS5OCJDARM	ASIÁTICOS	679:1 865:3 
23IVWKJBX5AAWJ46SBAFKXM74M	BLANCO	149:5 271:1 687:1 865:14 1155:6 1383:4 1579:1 1653:2 1855:1 2070:1 2072:1 2150:1 2202:1 2384:1 2405:1 2412:1 2548:2 2560:1 2574:1 
23PSQV4RDXPF3KDCXA4NZREH5M	BLANCO	285:2 291:1 293:1 301:1 305:1 373:7 406:1 552:2 865:21 1079:1 1383:6 1653:8 1745:2 2150:1 2405:1 2455:1 2484:5 2548:2 
23UCEJJNSFECD5RUIYSTQUFMWU	BLANCO	373:1 865:15 1079:4 1155:5 1262:1 1383:3 1653:3 1960:5 2405:1 2548:1 2716:1 
243CJQLOJP6Z6M6UKYXIUY2SIQ	BLANCO	865:1 
243SABQBHAYZVG422IS74RSAA4	BLANCO	865:1 1410:1 2421:1 
24DBW2IXGOCMC2DAS7LTLZIY34	BLANCO	669:1 865:3 1023:1 1079:2 1383:6 1653:2 2188:1 2716:1 
24J4S6ZKOBNVCO6SGSYNYYB3AM	AFROAMERICANO	1383:1 
24JB23GSSY6B42PIEFHP62CFJE	AFROAMERICANO	865:4 1155:2 1332:1 2384:1 2628:1 
24MZIL6LE6T3GC2CAG2YJKXHKE	BLANCO	865:6 1165:1 1383:1 2363:2 
24N7NHH7T7NHZ2IPF3R2OR54BQ	BLANCO	119:1 256:2 373:26 415:1 865:28 935:1 1155:10 1179:1 1240:1 1241:1 1295:1 1302:2 1347:4 1350:1 1353:1 1381:1 1383:3 1653:2 1993:15 1994:1 1995:1 2005:1 2069:2 2157:3 2384:12 2393:1 2405:1 
24PHJDHNBBLPA435IUVQDGV2PY	BLANCO	
24SL3XKFMK2IQY4E7CTCLJU4LA	BLANCO	74:3 89:1 175:1 865:8 953:1 1155:2 1410:2 1621:1 2405:1 2716:5 
24TOJ3XENYCRXHYDR6RY42HKOU	ASIÁTICOS	1155:2 2399:1 
24VBP2ULAUIWVFOE45ERXP52FU	BLANCO	149:1 422:1 1653:1 
25DEMVKI2CDQIAPXOXI6Y52EQY	BLANCO	149:4 679:1 865:29 953:2 1079:3 1155:9 1383:19 1621:1 1653:7 1941:1 2150:1 2363:1 2513:2 2548:2 2608:1 2643:1 
25DJYOTX2AEV5YACHXWGQ4ME74	BLANCO	865:1 1155:1 1383:3 1975:1 
25I6VK5T3MW7NIUOHRSW7QHRVQ	ARÁBICOS	865:4 889:1 890:1 2574:1 2716:2 
25M5K7KDJRZCVS5WT6ACHK42AY	AFROAMERICANO	464:2 865:2 2716:1 
25NK7F4VTNXDHTHFYH2656XJSY	BLANCO	
25P5R63DTE56JEKJINRMGPLHAI	BLANCO	149:5 552:1 865:16 992:1 1155:6 1205:6 1383:2 1653:1 2242:1 2332:1 2716:1 
25VPOOA2OOSPQSLM3U6ZPQRQP4	AFROAMERICANO	784:1 794:1 
2623NLZGELU7A6RN3KCJ3H7BVA	BLANCO	83:1 865:3 992:2 1079:2 1383:1 1410:1 1653:1 
264VH2V56YDXK3MYRLUNAWM44M	AFROAMERICANO	301:1 464:2 539:4 784:3 865:16 932:1 991:1 1079:5 1159:1 1383:2 1410:1 1653:8 1666:1 1960:3 2716:5 
265WKNE2MCCKH6GETRBKE63JOQ	BLANCO	9:2 1155:2 1383:3 1653:1 2150:4 
266ZQVIHCRGIXGQHLKS4Q25UAY	BRASILEÑOS	643:3 764:1 812:1 865:1 889:1 890:1 1155:2 1374:3 1383:3 1653:3 1806:1 1835:5 2716:1 
26BMNV4YHSZWBZLOGSZ23VG4CU	BLANCO	865:3 1155:1 1790:1 
26GOYJ4LDDP7CU7JRALXBCIO6E	BLANCO	
26IIE2JLC6DN7TF3JHACIGSQ4I	BLANCO	865:10 1079:3 1383:1 1653:5 1945:1 2217:1 2716:7 
26LB3IGR6UOXOQBHHOG2ST6XRE	AFROAMERICANO	865:5 1383:1 1653:1 
26SYNV7KEAK5NBWO3IDMXO4QNA	BLANCO	865:1 
26XVFS2YKGJEKE7RSGBBFWF5K4	ASIÁTICOS	149:2 231:1 373:1 398:1 422:1 464:2 508:1 552:1 679:1 773:2 836:1 865:20 889:3 890:3 1036:1 1155:12 1196:2 1383:2 1410:21 1416:1 1440:1 1523:1 1653:9 1745:8 1823:1 1886:1 2083:2 2085:4 2150:2 2194:1 2199:1 2202:1 2209:2 2260:2 2384:3 2487:2 2548:2 2574:2 2588:2 2603:4 2716:6 2722:1 
26ZDKFW3NX2TGIAZEMRIM4ITSQ	BLANCO	
26ZY65P6F6QCDC4KN6JIBKL4PA	AFROAMERICANO	356:1 552:1 865:2 1155:1 1609:1 2150:1 2260:1 
27CMD6NRTIF24CCOFVSIJ7DO5E	BLANCO	149:2 584:1 830:1 865:9 1079:2 1085:1 1155:3 1237:1 1383:1 1410:1 1653:1 2070:1 2150:2 
27IUS2FTTHXRL4UZRUHYR3THZA	BLANCO	865:1 
27P5D3GJ6H72TUQZKRDYGF6QJ4	BLANCO	373:1 582:1 865:2 1155:2 1205:1 1383:7 1653:1 1960:1 1974:2 2058:1 2172:1 2578:2 
27ZPYB66L4SGWAPDYYFGUWDQNI	LATINO	153:1 497:1 689:1 865:2 
2A3IUQIMQXT4XCLIYNXAQE7LUQ	BLANCO	396:1 1383:1 2150:1 2649:1 
2AAD3FWWA3XL2H4NZXJ55VZYLE	BLANCO	865:1 889:1 890:1 1155:1 1482:1 1653:1 2150:1 2309:1 
2AAPCUFJYOXCW54IQHVWG3SQ7Q	BLANCO	73:1 480:1 865:5 1383:3 1653:2 2716:3 
2AEUTTNQ2CH5542IZT4EE7ZF6M	ASIÁTICOS	836:1 865:1 1383:1 1621:1 1653:1 2539:1 
2AFMDQCRU7OFG4UCSZAOSR4SIY	BLANCO	476:1 
2EH55Y7LFHKC5FFFEWCERKUMPI	ASIÁTICOS	
2EI3IZ4PU45C6TAFDECFJLF6AM	BLANCO	865:5 889:2 890:2 1155:2 1197:2 1383:1 1653:13 1745:1 1886:4 2608:1 2643:4 
2EIXYENWIJHVLA37YKS74DD7XU	BLANCO	149:6 169:1 180:4 425:1 555:1 865:11 889:2 890:2 1079:1 1155:2 1200:1 1383:7 1410:3 1602:1 1621:1 1653:2 1745:3 1861:1 1877:1 1886:1 2251:1 2252:1 2574:1 
2EOJPGIVVGRNH6SSFHIC56MI74	ARÁBICOS	865:1 992:1 1155:2 1250:1 
2ESJNX7FWTDMJ5456XOW3PEPCU	AFROAMERICANO	1155:1 
2EU5P6HU65SBNKW7Y425ZD23FY	BLANCO	16:1 44:2 53:1 125:1 144:2 149:28 212:2 271:2 327:2 348:2 416:3 424:1 438:2 461:1 464:3 552:2 638:5 669:8 689:9 702:5 703:2 733:1 771:1 794:2 815:1 865:220 927:2 977:7 980:1 992:2 995:2 1013:1 1024:1 1040:12 1041:1 1079:6 1085:2 1155:50 1160:2 1196:1 1205:1 1224:3 1235:4 1250:2 1270:1 1275:2 1383:96 1401:2 1410:6 1569:1 1571:12 1572:1 1573:11 1574:1 1579:4 1599:1 1621:2 1653:20 1697:1 1698:1 1744:1 1799:1 1800:1 1841:1 1845:2 1886:3 1903:2 1974:1 1988:1 2015:6 2025:2 2056:1 2058:2 2070:3 2107:2 2126:1 2127:1 2130:4 2150:5 2157:3 2158:2 2192:2 2199:2 2202:4 2260:4 2308:2 2355:1 2363:3 2383:1 2384:10 2405:9 2421:1 2513:1 2515:1 2547:4 2548:23 2560:8 2564:1 2574:4 2628:2 2643:9 2663:2 2703:1 2716:76 2810:2 2813:1 
2F2PRZMQFKRHOELAOPCYGJSPKA	BLANCO	
2F3DSEK2K4JW57OW4FPSDUGXOQ	BLANCO	
2FEGNWBMVTPKTRMNA5V6RN5MUI	BLANCO	
2FHW653QCA2E6JOWZAJZROCQQI	BLANCO	865:2 1155:1 
2FL5QNZXSDVVFQY7N2TVUSAHG4	AFROAMERICANO	865:4 1383:1 
2FLWOTY3MC4S4FIAUPSGGSH3WM	BLANCO	149:3 242:3 865:2 953:2 2487:1 
2FZ24YVRFVPI5RFMFM37B2M3YM	BLANCO	149:1 
2G7LYJUXUM3PVDFVZAXYBXV33U	BLANCO	
2GECB5NZFAFO7DNCMP3QJVJMDY	ASIÁTICOS	115:1 865:1 1079:3 1383:2 
2GFFJGIFZIL33YWWFKG2C6ZJZE	BLANCO	865:13 1079:4 1155:1 1383:6 1653:2 1960:2 2132:3 2548:1 2560:1 2716:1 
2GIBXMU5ZPYTR6S6267KFZJJG4	LATINO	149:1 865:3 1275:1 1383:1 1679:1 
2GL5HCS6JEU3NU5QWWFWJ6YIWE	AFROAMERICANO	149:1 865:1 1383:1 2384:1 
2GNS6G2OROAJZ3CCAVHXQH7JN4	ARÁBICOS	865:1 883:2 889:4 890:4 951:2 1155:2 2405:1 2421:5 
2GOIRG6VN2CPMYEWP35AFVRBOA	BLANCO	53:3 149:1 669:1 865:14 1155:2 1270:1 1275:1 1383:3 1386:1 1653:3 1844:1 1932:1 2029:1 2150:1 2157:1 2172:2 2384:1 2405:1 2421:1 2716:1 
2GQT44RAOLATLQNDAH4TY3AYQQ	BLANCO	865:2 1653:1 1886:3 1967:2 2716:1 
2GWY7K7EHIETFTVDB4V6C35FUM	BLANCO	119:1 373:5 552:4 865:3 1155:1 1383:3 1653:1 
2HCH4JRJPMVVZNEHRU2OFZMDFQ	BLANCO	131:2 149:5 353:8 372:1 373:1 464:2 643:1 794:1 795:1 865:47 889:3 890:3 976:1 1079:7 1085:1 1155:8 1183:1 1290:1 1383:14 1410:1 1562:1 1621:2 1653:14 1744:1 1745:1 1775:1 1801:1 1910:1 1998:3 2067:1 2094:1 2130:1 2132:1 2150:3 2224:1 2260:1 2292:1 2303:1 2363:2 2374:1 2405:1 2548:3 2716:16 
2HCRI4OYKASVSCJFXBPEMG6UFA	ASIÁTICOS	70:6 116:1 139:1 140:1 825:1 953:1 977:1 1037:3 1038:1 1155:1 1383:1 1886:2 2150:1 2328:1 2384:2 2682:1 
2HUZIRMGUQR5PZZUCXINM3MFOM	BLANCO	242:3 669:1 844:1 865:6 1155:1 1383:2 1653:3 1745:3 2150:1 
2HXEASHFSBYHJYIKFZV2GASLUM	BLANCO	669:1 689:1 865:12 1079:1 1155:1 1383:5 1603:1 1653:1 2157:1 2363:1 
2HXQDLVTUHHFOIXX737YN537HM	BLANCO	865:1 
2HYOB3YTWESESCVZFS6CN4WPJM	ARÁBICOS	
