222G2PJWTMOVROYR2PYT33LTAM	BLANCO	397:1 487:1 635:1 639:1 641:1 935:1 980:1 1439:1 1442:1 2027:2 2262:2 2273:1 2599:1 2604:5 2605:1 3754:1 3839:1 4520:1 
222OIUSFNXKLN4EAT5BEMY52UA	BLANCO	
222V3HBN4RM4PSPJHMVBSDCAX4	BLANCO	4520:1 
222ZTOHMLKYG7G42D6N6HEWHDI	BRASILEÑOS	
223SQNC7E242OON6BTKFUKC2TI	BLANCO	740:1 1693:1 2585:1 2979:1 3413:1 
223WBY5AMVFFW2ST63776DAVAI	BLANCO	581:1 786:2 1887:1 1890:1 2081:1 2354:1 2385:1 3335:1 
225DJX6Z3SW7WYQHHR6GZYLWLY	BLANCO	980:1 
22743BP5PGMW35VYYULDKJGILQ	BLANCO	1005:1 2729:1 
22C5O2PTF5S4JL35ISQFME7ALY	AFROAMERICANO	417:1 524:2 647:1 1798:2 2928:1 4183:1 
22EEUNZQYZY3OX5VTAMJDEGU4A	AFROAMERICANO	
22EU3XUHOIYVI4WC4D5U3XQCOU	BLANCO	78:1 243:1 786:1 2263:1 2872:1 3011:1 3352:1 4175:1 
22O3BITQT5HDXCKFCLEJYSIJ2E	LATINO	1331:2 1757:1 1980:1 2024:1 
22PVQOO27DEBHSMR7G4UEJ2IO4	BLANCO	618:1 786:2 795:1 850:2 896:1 1105:1 1196:1 1200:1 1576:2 1693:1 2201:7 2354:1 2585:1 2657:1 2892:1 3426:2 3615:2 3754:1 3825:2 4067:2 4168:1 4366:1 4520:1 
22RCEKA2VRTYGFDKDG64O5WVWQ	ARÁBICOS	307:1 523:1 980:1 1388:1 1439:1 1495:1 2282:1 2416:1 2878:1 3098:1 3104:1 3105:1 4247:1 4547:1 
22WNEJLVX6PFWVDXKZ74AKVA4Y	ARÁBICOS	786:1 835:1 
22XGXU5ZBKUDVCLLZGGSWDRKY4	BLANCO	835:1 895:1 980:1 1195:1 1951:1 3236:1 3590:2 
237ILP25JYQRJDNBPS5OCJDARM	ASIÁTICOS	1591:2 2382:2 2877:2 4520:1 
23IVWKJBX5AAWJ46SBAFKXM74M	BLANCO	397:5 488:1 523:1 795:1 928:1 1135:2 1318:1 1326:1 1447:9 1795:1 2253:1 2262:2 2323:4 2426:1 2853:1 2877:1 2956:2 3100:2 3115:4 3398:3 3923:1 3936:1 4048:4 4049:1 4050:1 4051:1 4053:1 4171:1 4237:1 4248:1 4554:1 
23PSQV4RDXPF3KDCXA4NZREH5M	BLANCO	111:1 786:1 807:1 850:1 935:2 951:3 980:1 1090:4 1091:1 1095:2 1262:1 1267:1 1590:1 1994:1 2253:2 2258:2 2262:1 2354:2 2380:2 2416:2 2615:1 2678:1 2887:1 2908:1 2932:1 2933:1 3028:1 3115:1 3192:1 3401:1 3533:1 3620:1 3839:2 3922:2 4144:2 4251:1 4429:1 4547:1 4548:1 
23UCEJJNSFECD5RUIYSTQUFMWU	BLANCO	264:1 786:7 807:1 850:2 1388:4 1623:1 2167:1 2853:1 3620:1 3870:1 3915:1 4030:1 4598:2 
243CJQLOJP6Z6M6UKYXIUY2SIQ	BLANCO	
243SABQBHAYZVG422IS74RSAA4	BLANCO	
24DBW2IXGOCMC2DAS7LTLZIY34	BLANCO	262:1 336:1 377:1 564:1 786:1 1177:1 1388:1 2892:1 2894:1 3025:1 3115:1 3230:1 3413:1 4175:1 4479:1 
24J4S6ZKOBNVCO6SGSYNYYB3AM	AFROAMERICANO	63:3 264:1 1730:1 1951:1 2201:2 2582:1 2903:1 3326:1 3328:1 3554:1 4620:1 4635:1 
24JB23GSSY6B42PIEFHP62CFJE	AFROAMERICANO	2024:2 2201:1 2838:1 3123:2 3398:1 3848:1 4038:1 4339:1 
24MZIL6LE6T3GC2CAG2YJKXHKE	BLANCO	416:1 980:1 1136:1 2838:4 3915:1 4113:1 
24N7NHH7T7NHZ2IPF3R2OR54BQ	BLANCO	42:1 164:2 262:2 564:2 581:13 605:1 702:1 740:1 743:1 750:4 751:1 757:4 758:1 767:6 773:2 980:1 1388:2 1477:2 1495:1 1496:2 1505:1 1507:1 1951:2 1970:2 2167:2 2201:2 2262:1 2584:6 2585:2 3175:2 3180:2 3288:1 3289:1 3660:1 3736:2 4183:2 4439:2 4506:1 
24PHJDHNBBLPA435IUVQDGV2PY	BLANCO	
24SL3XKFMK2IQY4E7CTCLJU4LA	BLANCO	850:3 886:1 980:1 1388:2 1745:1 2263:2 3121:1 3444:1 
24TOJ3XENYCRXHYDR6RY42HKOU	ASIÁTICOS	1153:1 2908:1 3623:1 3660:1 4067:1 
24VBP2ULAUIWVFOE45ERXP52FU	BLANCO	1971:1 2818:1 4038:1 
25DEMVKI2CDQIAPXOXI6Y52EQY	BLANCO	173:1 397:2 591:1 807:1 835:2 895:1 980:2 997:1 1090:1 1246:2 1692:1 1980:1 1984:1 2201:1 2451:1 2872:1 2979:1 3374:1 3754:1 4038:10 4520:2 
25DJYOTX2AEV5YACHXWGQ4ME74	BLANCO	397:1 766:1 835:1 2872:1 3881:1 3924:1 
25I6VK5T3MW7NIUOHRSW7QHRVQ	ARÁBICOS	1247:1 
25M5K7KDJRZCVS5WT6ACHK42AY	AFROAMERICANO	1682:1 2784:1 
25NK7F4VTNXDHTHFYH2656XJSY	BLANCO	
25P5R63DTE56JEKJINRMGPLHAI	BLANCO	850:3 2439:2 2455:1 3398:1 
25VPOOA2OOSPQSLM3U6ZPQRQP4	AFROAMERICANO	299:1 1745:1 1750:2 
2623NLZGELU7A6RN3KCJ3H7BVA	BLANCO	
264VH2V56YDXK3MYRLUNAWM44M	AFROAMERICANO	397:2 1005:2 1495:1 2052:1 2127:1 2452:1 2465:1 2491:2 3047:1 3195:2 3674:6 4183:2 4365:1 4395:1 
265WKNE2MCCKH6GETRBKE63JOQ	BLANCO	2067:2 2357:1 2365:1 
266ZQVIHCRGIXGQHLKS4Q25UAY	BRASILEÑOS	172:2 724:1 795:1 839:1 850:1 853:1 1235:1 1602:1 1616:1 1617:1 1925:1 2201:1 2224:2 2786:1 2809:1 3710:1 3711:1 3973:1 3985:1 4085:1 4086:1 4238:1 4603:1 
