tweet_id, user_id
'382813377539502081','516516739'
'382813388503412736','936780650'
'382813391435206659','102278852'
'382813401845485568','982961148'
'382813430622982144','1438871088'
'382813437513834497','586624738'
'382813440655376384','200470479'
'382813444011204608','325838013'
'382813445495586816','1488680425'
'382813460574117888','1690118436'
'382813466014121984','230611433'
'382813467528282112','35187805'
'382813501489946624','1648166954'
'382813501729017856','1326602731'
'382813514881982464','1725367728'
'382813518602313729','127871544'
'382813522641821696','494943042'
'382813530396700672','15076342'
'382813532305096705','114252214'
'382813540413095936','551933987'
'382813540366954497','551933987'
'382813561875361792','86387542'
'382813565054226432','52784116'
'382813569597071360','381159056'
'382813582335160320','396686643'
'382813587410259968','127562269'
'382813601024995328','131452372'
'382813616069963776','1470900385'
'382813620356534272','127562269'
'382813652728160256','1470900385'
'382813652752928768','50016783'
'382813663784370176','1470900385'
'382813700375474176','109800652'
'382813702132867072','116827742'
'382813719941484544','388362795'
'382813733623300096','67574523'
'382813742683398144','149231017'
'382813761330888704','1547957851'
'382813775604105216','453679118'
'382813776304541697','388362795'
'382813788832940033','76573824'
'382813812040409089','22364225'
'382813829719019521','217161332'
'382813848006180864','56071266'
'382813873113284608','258369783'
'382813873679896576','1628703378'
'382813914796290048','411039931'
'382813924208308224','140328173'
'382813932437917696','591042766'
'382813942948823040','170438644'
'382813945913831424','465321832'
'382813996354510848','64099329'
'382814017099558912','41824033'
'382814024427376641','252143175'
'382814033675845632','252143175'
'382814060326043648','1471734055'
'382814060385161216','1006010059'
'382814062196703232','338906109'
'382814062704226304','50016783'
'382814074104328192','292937657'
'382814074439868419','1030764194'
'382814078751621120','812364150'
'382814086519869441','545272780'
'382814114860367872','983626003'
'382814115276025856','145708194'
'382814116127465472','760418221'
'382814118056431616','983601492'
'382814125673693184','570741759'
'382814125899784192','921268362'
'382814128102182912','570741759'
'382814132225191936','570741759'
'382814134263631872','570741759'
'382814134032531456','866157062'
'382814136285274112','570741759'
'382814138235236352','549130650'
'382814139623931904','1093333062'
'382814139653320704','570741759'
'382814141620043776','241038056'
'382814143293952001','570741759'
'382814144824479746','214127186'
'382814146620059648','1466636599'
'382814146691346432','570741759'
'382814148851023872','131557914'
'382814149165973504','570741759'
'382814152969838592','121750974'
'382814154165612544','570741759'
'382814156857950208','529159609'
'382814157248409600','570741759'
'382814158682877952','1443023412'
'382814158279815169','835391185'
'382814164319993856','561347596'
'382814165645402112','1445668484'
'382814178768990208','15640977'
'382814179624628224','176539710'
'382814190421168128','295788435'
'382814194665807872','460094984'
'382814218166079488','388362795'
'382814234452967424','876395474'
'382814241843343361','1177979562'
'382814257760321538','175163085'
'382814286654865408','17268481'
'382814309249585152','1903668841'
'382814335048773632','107838793'
'382814341247938562','610828637'
'382814365323247617','378171605'
'382814369425285120','45126062'
'382814374018031616','462761572'
'382814414220824576','243836771'
'382814425574805504','227510699'
'382814450119876608','109800652'
'382814482314973185','202955264'
'382814489831555072','343549749'
'382814490053451776','346509588'
'382814495527038976','189423519'
'382814514682413056','582727593'
'382814523507621888','31135856'
'382814530809511936','1664821824'
'382814531753639936','1584166124'
'382814538812641280','127562269'
'382814540481560576','487644400'
'382814581527040000','1019689334'
'382814615500902400','1057496316'
'382814617447436288','299267831'
'382814632232357888','1902902600'
'382814633213448192','500701905'
'382814634090037248','458084740'
'382814651580678144','450078778'
'382814668257263616','38502411'
'382814695113379840','145109186'
'382814708145061888','198104549'
'382814719683592193','88456345'
'382814732987932672','142417080'
'382814739367084032','378126181'
'382814746774626304','142417080'
'382814752591732736','20583993'
'382814766852358145','168963008'
'382814773320351744','16824809'
'382814774435659777','1087669542'
'382814800163508224','1361415758'
'382814800293543938','477041865'
'382814811999838208','92579526'
'382814827439071232','477041865'
'382814839225077760','1232407075'
'382814858309140480','107367175'
'382814863774326784','12217432'
'382814873727410176','1699451604'
'382814888776577024','477041865'
'382814901263015937','335331087'
'382814936030019584','116827742'
'382814938156105729','411039931'
'382814938890129409','411039931'
'382814939666083841','411039931'
'382814940223926272','411039931'
'382814940936937472','411039931'
'382814942023262208','388826305'
'382814949988249600','460125093'
'382814975292481537','1833512006'
'382814978098483200','56008143'
'382814979281670144','632174293'
'382814989817364480','491034730'
'382814998864478208','85194826'
'382815019689574400','1728318955'
'382815020603543552','47916714'
'382815028006514688','1303130102'
'382815036441255936','849426162'
'382815045748400128','83131500'
'382815054980075521','160501541'
'382815055781588992','1466636599'
'382815067294543872','349518402'
'382815093714870272','1065545089'
'382815104850329600','491034730'
'382815117575872513','825083712'
'382815134047272960','152568627'
'382815137997942784','238082697'
'382815139314937856','265168756'
'382815139994415104','265168756'
'382815140665491456','265168756'
'382815155131662336','762013057'
'382815170478628865','1630089722'
'382815170923610112','204731069'
'382815208005062656','1464648152'
'382815219891712000','1303130102'
'382815237940187136','615523553'
'382815243778662400','362738874'
'382815263483506688','45304018'
'382815297347911680','1055663035'
'382815302993842176','470099591'
'382815304851542016','306275473'
'382815328004100098','26978448'
'382815351211175936','1070221586'
'382815369251282944','358327990'
'382815388720828416','510859375'
'382815393079111680','468838897'
'382815402826268672','1421022630'
'382815408903843840','14471533'
'382815430114410496','835391185'
'382815442080776193','1605317232'
'382815450272649216','539908341'
'382815462645440512','1471734055'
'382815466344816640','1502936126'
'382815477837225984','127493575'
'382815486313906177','44325743'
'382815488935342082','385197673'
'382815509324263424','247695529'
'382815529486254080','27447941'
'382815535982858240','13289662'
'382815541372932096','207126115'
'382815548230221826','155435844'
'382815602164781056','1005511022'
'382815604484620288','280606331'
'382815607491923968','358327990'
'382815624936050688','431963392'
'382815628953804800','22619942'
'382815636151214080','315782495'
'382815644347285504','1568838746'
'382815647337422850','1656129320'
'382815649736953856','247695529'
'382815654471938048','349518402'
'382815657425117184','593342422'
'382815658540818432','250756508'
'382815696188891136','1169837306'
'382815710017499136','64416936'
'382815716300177408','356685886'
'382815731915554816','356685886'
'382815751411089408','1584166124'
'382815776425525248','386058585'
'382815780041404416','281253271'
'382815792200306688','323378508'
'382815813809364992','124947670'
'382815814447280128','1231335576'
'382815843706343424','450917814'
'382815846189768704','358327990'
'382815850040143872','22217781'
'382815856595832832','1893399458'
'382815862530781184','1226017801'
'382815862509826048','431963392'
'382815878179344384','411039931'
'382815878233849856','143434194'
'382815884235915264','411039931'
'382815896600731648','1280917591'
'382815904834539520','481985114'
'382815940720611328','257981796'
'382815945900580864','474223348'
'382815962438713344','1725367728'
'382815973708816385','115921217'
'382816005744889857','1237467246'
'382816039899521024','637208128'
'382816065270874112','358327990'
'382816078398648320','494206156'
'382816079367512064','123573960'
'382816083977441280','425346315'
'382816092567007232','517658272'
'382816095201001474','125944392'
'382816114889465856','431963392'
'382816126389866497','1030764194'
'382816138763046912','476828652'
'382816167368196096','1542855187'
'382816172124934144','491156698'
'382816179871436802','389486048'
'382816180055977984','26870274'
'382816197588168704','125944392'
'382816198226096128','114508011'
'382816203741622272','239979363'
'382816204877885440','1030764194'
'382816210012098560','404093275'
'382816216571604992','304082820'
'382816229137719296','204195016'
'382816229167099904','93233692'
'382816267591110657','1043736277'
'382816284288643072','1104085668'
'382816291989368833','151589230'
'382816296616091648','342008045'
'382816301028089856','246040515'
'382816317260066818','80525871'
'382816326265229312','455661283'
'382816331961077761','478651279'
'382816334737702912','300252214'
'382816348276932609','409787202'
'382816365205127168','10282522'
'382816386000502784','1309726021'
'382816399183577088','85743589'
'382816420356030465','340291187'
'382816431081287680','338362783'
'382816433455259648','327237487'
'382816452325019649','127493575'
'382816472713945088','593342422'
'382816510604898304','24944161'
'382816512249044992','212129844'
'382816552883847168','1894789796'
'382816557119717376','429085614'
'382816558801620993','235986401'
'382816578271592448','43132220'
'382816597565382656','203226820'
'382816614393339904','25738970'
'382816620055248896','91292166'
'382816628846895104','1326602731'
'382816640259219456','1725367728'
'382816646769160192','593342422'
'382816648341630977','1319640338'
'382816679132020736','196965482'
'382816685335801856','46179386'
'382816686245945344','377227038'
'382816711365230593','835391185'
'382816715907678209','100986964'
'382816752398528512','621693023'
'382816756458221569','1262366412'
'382816763546587137','22590537'
'382816771809366016','127532707'
'382816788473729024','621693023'
'382816798799704064','1262366412'
'382816821529018369','227016851'
'382816829875712000','154857864'
'382816842097516545','1030764194'
'382816843850719232','127804600'
'382816846363123713','379851447'
'382816850884960256','165326839'
'382816856631169024','138562652'
'382816885345361920','270990593'
'382816891938406400','1709131850'
'382816897206878208','859588027'
'382816902763913216','338985020'
'382816907700609024','1229471905'
'382816923525709824','384827200'
'382816951141015552','1326309307'
'382816952563277824','134869694'
'382816958065815552','220337950'
'382816968295735296','440558068'
'382816970250256384','246273355'
'382816985530122240','1709131850'
'382816989795741696','454802967'
'382816993713213441','378126181'
'382817010331037696','450917814'
'382817013053149184','378126181'
'382817013355515905','227016851'
'382817014873485313','1559569039'
'382817027947126784','825083712'
'382817042132258818','103170395'
'382817043637993472','1577416052'
'382817047031214080','1229471905'
'382817065624543233','88913700'
'382817080698888192','237826721'
'382817082959605760','1660178166'
'382817085069737984','593342422'
'382817095710294016','58796325'
'382817097069244416','99641362'
'382817115780026369','403381541'
'382817123409489920','258369783'
'382817132859256832','1254733686'
'382817147962925057','148291958'
'382817151679086592','377227038'
'382817159321092096','1254733686'
'382817160017772544','93762339'
'382817175712436224','222363435'
'382817190937763840','403381541'
'382817198709809152','1577416052'
'382817203151585280','398663607'
'382817217185710080','10282522'
'382817224739680256','277346430'
'382817259174912000','540295364'
'382817277524979712','52054932'
'382817282247770112','277346430'
'382817283846209537','163803115'
'382817293912518656','154857864'
'382817340909682688','137318295'
'382817353882292224','1267200422'
'382817375956901888','1663588730'
'382817392088588288','143760523'
'382817398459342848','144799762'
'382817400300658688','15604424'
'382817400883662848','1114228045'
'382817407091216386','457768193'
'382817422979260417','1861168236'
'382817446463565824','377227038'
'382817478541189120','1616961092'
'382817490184978432','580414059'
'382817491925622784','862588056'
'382817502884945920','761479088'
'382817529464238081','264595999'
'382817541351301120','435859738'
'382817554496233472','200722691'
'382817567519154176','492154297'
'382817582266335232','1318440355'
'382817615241957376','712030506'
'382817630614073346','144799762'
'382817638004449280','494206156'
'382817678903083008','44865280'
'382817685681471488','169733844'
'382817707420155904','1123151490'
'382817718493138944','1886117076'
'382817747765186560','231408549'
'382817787313684480','274945913'
'382817787606884352','18186489'
'382817794351714304','258960848'
'382817810939789312','716110315'
'382817813377064960','704545848'
'382817828422033408','250391047'
'382817833874231296','189305355'
'382817848319410176','277346430'
'382817862349377537','1471734055'
'382817872516378625','1890470214'
'382817875024965632','202230603'
'382817913050501120','202050915'
'382817924979101696','552806825'
'382817936580161536','576963424'
'382817951738388480','1812287533'
'382817968205205504','462848807'
'382817970868588544','1130389106'
'382817981618606080','835391185'
'382817997858959361','462848807'
'382817999209496576','517820813'
'382818006046212097','1372109678'
'382818044294496256','88456345'
'382818065450151936','212129844'
'382818090523701248','19325917'
'382818091605843969','83131500'
'382818101982953472','203007322'
'382818105329610752','446905542'
'382818128243085312','419821943'
'382818136170700800','76695906'
'382818181821509632','203007322'
'382818189995827200','833990756'
'382818190318764032','243370723'
'382818191401299968','470099591'
'382818218240274432','219667029'
'382818238532308993','1361566100'
'382818251648282624','2180371'
'382818251467530240','46620290'
'382818256190701568','377227038'
'382818268131885056','480316076'
'382818273932218368','219667029'
'382818279854993408','232552551'
'382818279934275585','721583172'
'382818298846384128','80525871'
'382818299219673089','356685886'
'382818308208091136','277346430'
'382818313556226049','227016851'
'382818341951254529','1639044775'
'382818363480633344','40816246'
'382818377015640065','148291958'
'382818393809641472','130247496'
'382818398628884481','219667029'
'382818413627711490','277346430'
'382818497744490496','75055396'
'382818512819200000','227016851'
'382818524965502976','277346430'
'382818525020045313','703136774'
'382818528161574912','715086062'
'382818529927372800','847114458'
'382818532578574336','130857604'
'382818547132801024','376284548'
'382818554355007488','97286264'
'382818557643730944','829797804'
'382818560420360192','213617260'
'382818570058489857','277346430'
'382818570184323072','494206156'
'382818597196017664','227016851'
'382818604695044097','544438209'
'382818607836565504','1702787546'
'382818613763112960','872255996'
'382818648995274752','416951055'
'382818652929544192','277346430'
'382818659909246976','1584166124'
'382818672969920513','212129844'
'382818683779026944','154339506'
'382818703777099777','487654999'
'382818707967578112','221371475'
'382818712610304001','231358123'
'382818716461068288','561699434'
'382818724408860672','531640074'
'382818735285080064','1077590112'
'382818744356986880','440777408'
'382818746114400256','42972182'
'382818747251429376','492154297'
'382818754838532096','431021719'
'382818767845466112','83314295'
'382818785037529088','49280737'
'382818795418419201','20495181'
'382818821993537537','357466862'
'382818823092854784','82702111'
'382818823495102464','88913700'
'382818842822451200','375176910'
'382818843955314688','348473183'
'382818856193908736','1542996782'
'382818856621723648','258772925'
'382818863072960512','150455590'
'382818876301791232','245795665'
'382818877274861568','492154297'
'382818883595689984','586862793'
'382818911332212736','714833048'
'382818929435246593','96089499'
'382818933092261888','1861168236'
'382818939296038912','143760523'
'382818961488097280','54851223'
'382818986829684736','1670530796'
'382818992143867905','215722340'
'382818993813204993','96737092'
'382819043113046016','803850210'
'382819091054342144','492154297'
'382819104476110848','114152562'
'382819124969107458','543300681'
'382819137501659136','405674682'
'382819139858870272','125944392'
'382819140689346560','500622445'
'382819161979621376','271799606'
'382819199414177792','2180371'
'382819235749040129','972481826'
'382819251116969984','835391185'
'382819259447267328','170438644'
'382819348764577792','189423519'
'382819349150461953','882702164'
'382819355035447296','275467749'
'382819355571937281','1267200422'
'382819363184599040','250545038'
'382819389768097792','151589230'
'382819401092706304','1219577690'
'382819416033214464','203485065'
'382819416959758338','1629744024'
'382819430117675008','492154297'
'382819453362130944','1187874781'
'382819460484067328','1598834298'
'382819486929526784','88390451'
'382819489512828928','66397140'
'382819491899400194','968459306'
'382819523000143872','171621328'
'382819534761369600','27589515'
'382819534685491200','1488680425'
'382819537588326400','145950787'
'382819555363414018','154019997'
'382819556755914752','50316077'
'382819579510403072','128478861'
'382819616265084928','8250252'
'382819638939504640','174479897'
'382819645721690113','1388187367'
'382819649781764096','145950787'
'382819652004352000','252527005'
'382819657843220480','27589515'
'382819659411509249','1471734055'
'382819671948292096','114458997'
'382819696611188736','561062434'
'382819700377264129','42440408'
'382819703540183040','1682028920'
'382819711328604160','1414687501'
'382819713413152769','1629802411'
'382819717985353728','635510885'
'382819728919523329','111836320'
'382819744141037568','329756383'
'382819779918065664','1602804708'
'382819798436290560','563028318'
'382819801800126464','182184402'
'382819816102318080','1629802411'
'382819854081732608','23885775'
'382819862109638657','581778135'
'382819867776122880','174973089'
'382819884511797248','948575532'
'382819888986746880','152970119'
'382819911031992320','289332782'
'382819923426562048','454922456'
'382819933010137088','1247943565'
'382819940501164032','530985124'
'382819951205048320','1068602564'
'382819964962734080','155937705'
'382819969337028608','1488680425'
'382819969848729600','365256067'
'382820017672187904','44865280'
'382820018695995392','481985114'
'382820031005859840','940000238'
'382820055131893760','83314295'
'382820108147888128','563028318'
'382820131291676672','1481726341'
'382820135687716864','198553539'
'382820144000413696','47447160'
'382820172031344640','298985482'
'382820174677946368','468838897'
'382820202452246528','536400613'
'382820204994371584','84959697'
'382820222182637568','743204658'
'382820242289750017','109183925'
'382820253484322817','109183925'
'382820264959959040','109183925'
'382820301035565056','83314295'
'382820301504933888','1677800780'
'382820315513896961','107812790'
'382820342374227969','374084768'
'382820364130070528','1066727641'
'382820364788969472','1423313492'
'382820372300587008','1668113346'
'382820383432257536','1668405126'
'382820391666081792','109183925'
'382820394979180545','1668271940'
'382820397202145280','782344513'
'382820401941725184','1668369097'
'382820403954974720','1668108757'
'382820413379575808','1593144170'
'382820414105210880','1066610636'
'382820414667235328','1668390746'
'382820422363774976','781205268'
'382820423026491392','1593144170'
'382820433747144706','1668428928'
'382820436070785027','1066688210'
'382820450587668480','148246711'
'382820461241184256','65897559'
'382820462159335426','1612782818'
'382820462830424064','244913948'
'382820463467970560','494206156'
'382820465984536576','1668500953'
'382820468605997056','1668196650'
'382820470019883009','1660445989'
'382820471739138048','1668294200'
'382820478416474112','1668179108'
'382820482086481920','1668441349'
'382820486998007808','1668077118'
'382820493977321472','1066678142'
'382820496338714625','1066727641'
'382820498570084353','782372604'
'382820499316674560','125944392'
'382820501821067265','62117594'
'382820503599079425','1668421387'
'382820511589232641','1668251738'
'382820519684218880','138682072'
'382820522423111680','835391185'
'382820527212994560','633960802'
'382820536298274816','106476847'
'382820554186981376','470099591'
'382820568245878784','782344513'
'382820570724720640','212129844'
'382820570997334016','86921288'
'382820573673320448','1629813445'
'382820590014693377','542201905'
'382820595391418368','882702164'
'382820662970441728','742793028'
'382820720968880128','35711792'
'382820720708833280','22619942'
'382820736513343488','784688635'
'382820757765500928','633960802'
'382820811540684800','58796325'
'382820828712153089','1671035923'
'382820841081163776','1668550800'
'382820850203754496','1668569420'
'382820852904914944','1889766546'
'382820861771644928','1853781402'
'382820871942852608','1853781402'
'382820875017256960','1668575923'
'382820878464983040','88913700'
'382820879974936577','1853781402'
'382820883040960512','1658456676'
'382820885280747520','797598200'
'382820885947641856','1671016453'
'382820886296145920','329734556'
'382820887440805888','1853781402'
'382820887529271296','329734556'
'382820893656764416','304082820'
'382820894961180672','1853781402'
'382820917702713344','136044550'
'382820918520578048','1670954666'
'382820921540476928','868237014'
'382820932571521024','96737092'
'382820955682115585','1861168236'
'382820963861004288','480986278'
'382820971293323264','86921288'
'382820983347761152','78246855'
'382821002704867328','77225131'
'382821025354108928','48088248'
'382821063916138497','1629813445'
'382821085013868544','863696388'
'382821090160308224','277382418'
'382821091774705666','22590537'
'382821106823868416','377227038'
'382821132958572545','17741758'
'382821133973991424','20434332'
'382821134129180673','311524976'
'382821134179110912','1171750130'
'382821174960717825','16696798'
'382821202982862848','1256505481'
'382821205574946816','531963959'
'382821213820944384','117767974'
'382821223081586688','1014682609'
'382821232032219136','360109762'
'382821242765459457','115499413'
'382821252731109377','1661517163'
'382821274344386560','83131500'
'382821278190559233','135052070'
'382821278589394945','325688284'
'382821301796106240','525217305'
'382821303302254592','326319177'
'382821314299301888','724092144'
'382821324235997185','1006010059'
'382821327062589440','719930822'
'382821330787524608','64456662'
'382821342183436288','88456345'
'382821366077992960','847183088'
'382821382318342144','264595999'
'382821392263024640','614409249'
'382821401637695488','74212891'
'382821409103572992','27589515'
'382821410076639232','1171018206'
'382821445631356928','1338626755'
'382821448697384960','803850210'
'382821473083064320','147516730'
'382821502250270720','583671075'
'382821512517918720','613777886'
'382821545116459008','42850067'
'382821548920700928','499875831'
'382821552317681665','906553219'
'382821569916981248','724092144'
'382821588863029248','276547675'
'382821609440280576','123840635'
'382821615341297664','558948966'
'382821630965075968','311526608'
'382821653098409984','630486208'
'382821678771761153','182416678'
'382821704713527297','775116872'
'382821717301010432','277622278'
'382821736732827648','1030764194'
'382821753694990336','1848912890'
'382821772698984448','386058585'
'382821798301016064','835391185'
'382821801144754176','369860780'
'382821812012216320','25353450'
'382821843012308992','424874862'
'382821844107407360','862106292'
'382821853745516544','1629813445'
'382821855024799744','797941896'
'382821869394472960','1307904522'
'382821885039611904','1528826390'
'382821952085176321','141199148'
'382821954333712385','716832157'
'382821963229454336','1378993590'
'382821963841806336','156601706'
'382821969093484544','131763362'
'382822006825451520','22625842'
'382822042762223616','481985114'
'382822064878800896','1858550334'
'382822073887760384','243595476'
'382822075297058816','1414684496'
'382822113901424641','797941896'
'382822142481825792','198553539'
'382822149318512640','137798686'
'382822163742330881','258772925'
'382822179752394752','256562138'
'382822189994475520','386058585'
'382822198098280448','868904706'
'382822220835201024','377391104'
'382822231643934721','323481433'
'382822233908867072','522597443'
'382822236907773952','1118669732'
'382822243069599744','17565913'
'382822243543179264','140771367'
'382822265273843712','714833048'
'382822266196619264','850595016'
'382822283267428353','26234452'
'382822285281067008','868904706'
'382822296672423937','212129844'
'382822305250148352','276547675'
'382822312401063936','35749197'
'382822317627150336','386058585'
'382822319519170560','401575249'
'382822350636732416','117887246'
'382822351655546881','229838724'
'382822363861364736','1517439691'
'382822368126595072','1602804708'
'382822369699840000','1605514344'
'382822369766961152','588587397'
'382822371444277249','212129844'
'382822380365971457','1492265298'
'382822390117720064','246904960'
'382822391438508032','724092144'
'382822400942817281','1030764194'
'382822405456285696','277622278'
'382822408068927488','147516730'
'382822412594577408','720213000'
'382822418383110144','356574022'
'382822435646484481','1336368134'
'382822442785599488','113936570'
'382822442881671169','172801893'
'382822446862458880','296730004'
'382822449156325377','1861168236'
'382822450658308096','895776782'
'382822450951880704','200836605'
'382822451391901697','86921288'
'382822453338075136','614409249'
'382822474825486336','1862931505'
'382822497021734913','446905542'
'382822501417365505','309182038'
'382822510674182144','1516255956'
'382822539912699904','103595040'
'382822552768233472','1203698820'
'382822562331623424','236497628'
'382822566240350208','446905542'
'382822570170781696','256742688'
'382822589388705792','593953725'
'382822592182116353','159818600'
'382822618291658752','127871544'
'382822621441581057','136044550'
'382822628487987201','1704703795'
'382822646053756928','50711149'
'382822673870761984','121820799'
'382822678396018688','1879156861'
'382822678916128770','388826305'
'382822686445305856','481985114'
'382822699745419264','902220266'
'382822699833102336','31760327'
'382822705407750144','731578802'
'382822712013758464','1277004187'
'382822713188171776','147698870'
'382822717046947840','1272753464'
'382822728778006529','323481433'
'382822733492781056','1349245940'
'382822733857296386','591042766'
'382822749301141504','1213098752'
'382822759954673664','468838897'
'382822764786089984','104010758'
'382822817563045889','386058585'
'382822818171199488','386058585'
'382822836655509504','492498638'
'382822840338489344','209753135'
'382822841030148096','278896437'
'382822855915741185','484545844'
'382822857799368704','532183943'
'382822862731493377','31922032'
'382822874022965248','356574022'
'382822879311564801','446905542'
'382822879940706305','421791608'
'382822886056001536','323481433'
'382822886446096384','284983546'
'382822888870387714','610112325'
'382822900094365696','1063009350'
'382822908147822592','148246711'
'382822916418973696','96508427'
'382822918637748224','209753135'
'382822923163410432','143760523'
'382822927441215488','582651563'
'382822929647808512','862106292'
'382822933896241152','179658578'
'382822946068500480','69858786'
'382822963080200193','583671075'
