tweet_id, user_id
'451532659278491648','20657658'
'451532659567910912','711204942'
'451532662650724352','805098301'
'451532663656939520','1485908383'
'451532663380533248','273715808'
'451532665330487296','117286114'
'451532666722983936','870528913'
'451532671534247936','1681448720'
'451532672742199296','220172012'
'451532672897413120','208359189'
'451532675145555968','228216165'
'451532677360128000','280658936'
'451532677481758721','1268383568'
'451532677238521857','232349019'
'451532679083982848','104889428'
'451532679561756673','215453221'
'451532681155969024','1158962161'
'451532681785147393','258975618'
'451532682090921985','168017798'
'451532682951155712','1624072670'
'451532683198214144','600583666'
'451532683777437696','171687451'
'451532686189142016','710847121'
'451532686507917313','737240538'
'451532686558257152','105034133'
'451532687942369280','628747911'
'451532688265338880','792963042'
'451532688424321024','366739674'
'451532688110129152','1258012680'
'451532689863368704','111165926'
'451532691222306816','199675597'
'451532693725917185','1970345150'
'451532694007316480','777065916'
'451532694934257664','1651505449'
'451532695156555777','274245304'
'451532696456400896','353732977'
'451532697949593600','1093140655'
'451532698751086592','604224638'
'451532702815379457','1682346739'
'451532702714716161','232863419'
'451532703708741632','1087038252'
'451532704912510977','631526427'
'451532704547614721','16079026'
'451532706846093312','1431999254'
'451532706997092352','632165419'
'451532707994939392','887045664'
'451532709102641152','893489942'
'451532710885216256','601167084'
'451532711388127232','533743815'
'451532711904428032','870643890'
'451532711375945728','1349654209'
'451532712206422016','214562757'
'451532711522746370','2331030996'
'451532714127007745','92168859'
'451532714551050240','294910652'
'451532714148392961','143663985'
'451532715880615936','935334475'
'451532717617061889','194791987'
'451532719231877120','1170510312'
'451532720662147072','254844067'
'451532722691796992','238756164'
'451532723434557441','58307613'
'451532724235698177','445966332'
'451532723719389185','1512375294'
'451532725997293568','37438455'
'451532726420504576','31154046'
'451532729042362368','1239157088'
'451532729071702016','1180762782'
'451532730392907776','1955306888'
'451532732003520512','553135217'
'451532733173760000','374692603'
'451532732569755648','2303844675'
'451532733827661824','1631177137'
'451532734943342592','13181382'
'451532737397424129','123270934'
'451532737821016065','144006145'
'451532739997466624','140241016'
'451532744846491648','422104817'
'451532745047805952','1006474362'
'451532745366175745','76843179'
'451532745617842176','159972895'
'451532745345622017','136403625'
'451532747291779074','1002909367'
