tweet_id, user_id
'615846770556424192','3066749885'
'615865221039693824','2634236712'
'615871510402723841','144644046'
'615875576281346048','2562031680'
'615879103254761472','2773286142'
'615883128117284864','1705422391'
'615885367976312832','147709768'
'615895171759218689','295720954'
'615895312947916800','295720954'
'615909316982382592','344294212'
'615909498218221568','344294212'
'615915027946672128','118425307'
'615926876285063173','1729427892'
'615933350214283265','284614660'
'615933514450604032','284614660'
'615933580213153792','227514727'
'615935572029362177','526006550'
'615936074154672128','2414911778'
'615936747214647296','2242828489'
'615942911553875968','3315950847'
'615943874469580800','1723561230'
'615958780069593088','19726230'
'615959200271876096','1503129151'
'615959752347152384','1872014316'
'615960631355777024','2244298812'
'615968047342452736','1861774850'
'615974611549720576','274190067'
'615975143999836160','296363393'
'615984574963798016','150103681'
'615989926052634624','1328163025'
'616003958348349444','1711124510'
'616004092121489408','1597653120'
'616004453548883968','1737633889'
'616010237858959360','271442418'
'616010494294499328','2845647006'
'616010571511635968','105027194'
'616011092209336320','531935269'
'616011733849739264','143439935'
'616011929346179072','3262374512'
'616019625491312640','1332020130'
'616019625491312640','1332020130'
